日付,タスク名,開始時間,所要時間,タグ名
09/10,病院,15,2,予定
09/10,企業研究,17,1,就活
09/10,夜ご飯,18,1,日常
09/10,基本情報技術者の勉強,19,1,IT
09/10,SPIの勉強,20,1,就活
09/10,お風呂,21,1,日常
09/10,修士論文のテーマの候補を出す,22,1,研究
09/11,朝ごはん,8,1,日常
09/11,企業研究,9,1,就活
09/11,授業,10.17,1.5,予定
09/11,昼ごはん,12,1,日常
09/11,BIM特論レポート,13,1,授業課題
09/11,基本情報技術者の勉強,14,1,IT
09/11,授業,15.83,1.5,予定
09/11,夜ご飯,18,1,日常
09/11,修士論文のテーマの候補を出す,19,1,研究
09/11,修理論文スケジュール作成,20,1,研究
09/11,お風呂,21,1,日常
09/11,SPIの勉強,22,1,就活
09/12,朝ごはん,8,1,日常
09/12,基本情報技術者の勉強,9,1,IT
09/12,SPIの勉強,10,1,就活
09/12,BIM特論レポート,11,1,授業課題
09/12,昼ごはん,12,1,日常
09/12,移動・休憩,13,0.5,日常
09/12,病院,13.5,1,予定
09/12,企業研究,14.5,1,就活
09/12,修士論文のテーマの候補を出す,15.5,1,研究
09/12,修理論文スケジュール作成,16.5,1,研究
09/12,基本情報技術者の勉強,17.5,0.5,IT
09/12,夜ご飯,18,1,日常
09/12,BIM特論レポート,19,1,授業課題
09/12,SPIの勉強,20,1,就活
09/12,お風呂,21,1,日常
09/12,企業研究,22,1,就活
09/13,朝ごはん,8,1,日常
09/13,基本情報技術者の勉強,9,1,IT
09/13,SPIの勉強,10,1,就活
09/13,企業研究,11,1,就活
09/13,昼ごはん,12,1,日常
09/13,BIM特論レポート,13,1,授業課題
09/13,修士論文のテーマの候補を出す,14,1,研究
09/13,修理論文スケジュール作成,15,1,研究
09/13,企業研究,16,1,就活
09/13,基本情報技術者の勉強,17,1,IT
09/13,夜ご飯,18,1,日常
09/13,BIM特論レポート,19,1,授業課題
09/13,SPIの勉強,20,1,就活
09/13,お風呂,21,1,日常
09/13,予備時間・振り返り,22,1,日常
